uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-06 8:55
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-06 8:55
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-06 8:55
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-07 19:8
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-07 19:11
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-07 19:25
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-07 19:26
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:8
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:8
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:8
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:8
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:8
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:8
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:8
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:9
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:9
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:9
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:9
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:10
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:11
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:13
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:17
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:22
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:32
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 16:48
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-08 17:9
uncaughtException | Error: Redis connection in broken state: connection timeout exceeded. ==========> 2020-08-08 17:9
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-09 8:51
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-09 8:51
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-09 8:51
uncaughtException | MongoTimeoutError: Server selection timed out after 30000 ms ==========> 2020-08-09 8:51
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-09 8:51
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-09 8:51
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-09 8:51
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-09 8:51
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-09 8:51
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-09 8:51
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-09 8:52
uncaughtException | MongoTimeoutError: Server selection timed out after 30000 ms ==========> 2020-08-09 8:53
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-09 8:57
uncaughtException | ReferenceError: inboundSchema is not defined ==========> 2020-08-09 11:28
uncaughtException | ReferenceError: inboundSchema is not defined ==========> 2020-08-09 12:10
uncaughtException | Error: Cannot find module 'core-js/fn/array'
Require stack:
- D:\Project\SerialPrint\ovjohnson\server\controllers\serialPrint\serialPrintController.js
- D:\Project\SerialPrint\ovjohnson\server\controllers\apiControllerListener.js
- D:\Project\SerialPrint\ovjohnson\server\routing.js
- D:\Project\SerialPrint\ovjohnson\server\server.js ==========> 2020-08-09 17:2
uncaughtException | SyntaxError: await is only valid in async function ==========> 2020-08-09 18:27
uncaughtException | SyntaxError: await is only valid in async function ==========> 2020-08-09 18:27
uncaughtException | SyntaxError: await is only valid in async function ==========> 2020-08-09 18:32
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-09 19:15
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-09 20:37
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-09 20:38
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-09 20:39
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-10 8:59
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-10 8:59
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-10 8:59
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-10 8:59
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-10 8:59
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-10 9:0
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-10 9:0
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 9:2
